+-----+------+------------------+--------------+------------------+-------------------+----------------+
|     |   ID |          Fortune |      Percent |   Cumulative_sum |   Initial_fortune |   Increased_by |
|  64 |  765 |      2.64555e+06 |  0.00168345  |        0.559233  |           2400    |   1101.31      |
|  65 |  402 |      2.62166e+06 |  0.00166825  |        0.560901  |          16688.5  |    156.093     |
|  66 |  781 |      2.59202e+06 |  0.00164938  |        0.562551  |           2400    |   1079.01      |
|  67 |  769 |      2.5808e+06  |  0.00164224  |        0.564193  |          19735.8  |    129.767     |
|  68 |  958 |      2.54959e+06 |  0.00162238  |        0.565815  |           2400    |   1061.33      |
|  69 |  300 |      2.53055e+06 |  0.00161027  |        0.567426  |          49510.5  |     50.1114    |
|  70 |  483 |      2.51112e+06 |  0.00159791  |        0.569023  |           9701.55 |    257.837     |
|  71 |  569 |      2.49059e+06 |  0.00158484  |        0.570608  |          34378.5  |     71.4462    |
|  72 |  264 |      2.48413e+06 |  0.00158073  |        0.572189  |          46329.8  |     52.6184    |
|  73 |   96 |      2.47475e+06 |  0.00157476  |        0.573764  |          53691.8  |     45.0917    |
|  74 |  761 |      2.47385e+06 |  0.00157419  |        0.575338  |           2400    |   1029.77      |
|  75 |  895 |      2.47223e+06 |  0.00157316  |        0.576911  |          47602.5  |     50.935     |
|  76 |  945 |      2.46989e+06 |  0.00157167  |        0.578483  |           2400    |   1028.12      |
|  77 |  345 |      2.46422e+06 |  0.00156806  |        0.580051  |          34800    |     69.8109    |
|  78 |   44 |      2.46273e+06 |  0.00156712  |        0.581618  |           8804.8  |    278.704     |
|  79 |  693 |      2.46263e+06 |  0.00156705  |        0.583185  |          59378.2  |     40.4736    |
|  80 |  394 |      2.45894e+06 |  0.0015647   |        0.58475   |           2400    |   1023.56      |
|  81 |  308 |      2.43805e+06 |  0.00155141  |        0.586301  |          37362    |     64.2549    |
|  82 |  436 |      2.41948e+06 |  0.00153959  |        0.587841  |          26008    |     92.0283    |
|  83 |  821 |      2.39618e+06 |  0.00152477  |        0.589366  |          12082.4  |    197.32      |
|  84 |  354 |      2.39602e+06 |  0.00152466  |        0.59089   |          16929.1  |    140.533     |
|  85 |  451 |      2.38915e+06 |  0.00152029  |        0.59241   |          16390.2  |    144.767     |
|  86 |  637 |      2.38795e+06 |  0.00151953  |        0.59393   |          17363.5  |    136.527     |
|  87 |  620 |      2.38562e+06 |  0.00151804  |        0.595448  |           2400    |    993.006     |
|  88 |  559 |      2.38069e+06 |  0.00151491  |        0.596963  |           2400    |    990.956     |
|  89 |  746 |      2.37362e+06 |  0.00151041  |        0.598473  |          34028.6  |     68.7539    |
|  90 |  669 |      2.37306e+06 |  0.00151005  |        0.599983  |          23601.6  |     99.5465    |
|  91 |  862 |      2.36452e+06 |  0.00150462  |        0.601488  |           2400    |    984.216     |
|  92 |  299 |      2.36214e+06 |  0.00150311  |        0.602991  |           1839.6  |   1283.05      |
|  93 |  209 |      2.35868e+06 |  0.0015009   |        0.604492  |          10907.7  |    215.24      |
|  94 |  236 |      2.33596e+06 |  0.00148644  |        0.605978  |          11459.4  |    202.847     |
|  95 |  230 |      2.33122e+06 |  0.00148343  |        0.607462  |          40212.8  |     56.9721    |
|  96 |  800 |      2.32878e+06 |  0.00148188  |        0.608944  |           4287.6  |    542.144     |
|  97 |  179 |      2.32582e+06 |  0.00147999  |        0.610424  |           2400    |    968.092     |
|  98 |  534 |      2.31853e+06 |  0.00147535  |        0.611899  |          37814.2  |     60.3137    |
|  99 |  887 |      2.31361e+06 |  0.00147222  |        0.613371  |          49261.5  |     45.9659    |
| 100 |  898 |      2.306e+06   |  0.00146738  |        0.614839  |          23163    |     98.5552    |
| 101 |  123 |      2.29425e+06 |  0.0014599   |        0.616299  |          61515.8  |     36.2953    |
| 102 |  492 |      2.27409e+06 |  0.00144707  |        0.617746  |          20705.7  |    108.829     |
| 103 |  648 |      2.24824e+06 |  0.00143063  |        0.619176  |          21336.3  |    104.371     |
| 104 |  574 |      2.24686e+06 |  0.00142975  |        0.620606  |           2400    |    935.19      |
| 105 |  586 |      2.24062e+06 |  0.00142577  |        0.622032  |          26766.2  |     82.7108    |
| 106 |  788 |      2.22327e+06 |  0.00141474  |        0.623447  |          62687.2  |     34.466     |
| 107 |  538 |      2.22115e+06 |  0.00141339  |        0.62486   |           1522.8  |   1457.6       |
| 108 |  485 |      2.16358e+06 |  0.00137676  |        0.626237  |          61060.5  |     34.4334    |
| 109 |  844 |      2.16061e+06 |  0.00137486  |        0.627612  |          19150.2  |    111.825     |
| 110 |  876 |      2.14789e+06 |  0.00136677  |        0.628978  |          49327.5  |     42.5434    |
| 111 |  117 |      2.13849e+06 |  0.00136079  |        0.630339  |          31070.5  |     67.8268    |
| 112 |  321 |      2.13474e+06 |  0.00135841  |        0.631698  |           8147.7  |    261.006     |
| 113 |  785 |      2.12352e+06 |  0.00135126  |        0.633049  |           2400    |    883.801     |
| 114 |  297 |      2.10966e+06 |  0.00134244  |        0.634391  |          75079.5  |     27.099     |
| 115 |   24 |      2.10259e+06 |  0.00133794  |        0.635729  |          50130.8  |     40.9421    |
| 116 |   27 |      2.10257e+06 |  0.00133793  |        0.637067  |          49809    |     41.2127    |
| 117 |  190 |      2.09199e+06 |  0.0013312   |        0.638398  |           2400    |    870.661     |
| 118 |  333 |      2.08258e+06 |  0.00132521  |        0.639724  |           2400    |    866.741     |
| 119 |  412 |      2.08212e+06 |  0.00132492  |        0.641048  |           6780.6  |    306.071     |
| 120 |  381 |      2.07496e+06 |  0.00132036  |        0.642369  |          17513.9  |    117.475     |
| 121 |  420 |      2.06511e+06 |  0.00131409  |        0.643683  |           5819.4  |    353.866     |
| 122 |  301 |      2.05939e+06 |  0.00131045  |        0.644993  |          47772    |     42.1086    |
| 123 |  413 |      2.05652e+06 |  0.00130863  |        0.646302  |          21458.8  |     94.8361    |
| 124 |  652 |      2.04394e+06 |  0.00130063  |        0.647603  |           2400    |    850.643     |
| 125 |  902 |      2.04181e+06 |  0.00129927  |        0.648902  |           5531.4  |    368.131     |
| 126 |  790 |      2.03816e+06 |  0.00129695  |        0.650199  |          65863.5  |     29.9453    |
| 127 |  972 |      2.02144e+06 |  0.0012863   |        0.651485  |          19431.5  |    103.029     |
| 128 |  452 |      2.01382e+06 |  0.00128146  |        0.652767  |         515556    |      2.90612   |
| 129 |  687 |      2.01307e+06 |  0.00128098  |        0.654048  |           4752    |    422.626     |
| 130 |  787 |      2.01102e+06 |  0.00127968  |        0.655327  |           9718.55 |    205.926     |
| 131 |  563 |      2.00493e+06 |  0.0012758   |        0.656603  |           2400    |    834.387     |
| 132 |  399 |      1.99795e+06 |  0.00127136  |        0.657874  |           2400    |    831.479     |
| 133 |  941 |      1.99775e+06 |  0.00127123  |        0.659146  |           2400    |    831.397     |
| 134 |  739 |      1.98758e+06 |  0.00126476  |        0.66041   |           2400    |    827.159     |
| 135 |  588 |      1.98402e+06 |  0.00126249  |        0.661673  |          29935.8  |     65.2758    |
| 136 |   94 |      1.97516e+06 |  0.00125686  |        0.66293   |          35724.8  |     54.2882    |
| 137 |  959 |      1.97087e+06 |  0.00125413  |        0.664184  |           2400    |    820.196     |
| 138 |  287 |      1.97067e+06 |  0.001254    |        0.665438  |          20518.7  |     95.0428    |
| 139 |  865 |      1.96886e+06 |  0.00125285  |        0.666691  |           2400    |    819.36      |
| 140 |  540 |      1.96499e+06 |  0.00125038  |        0.667941  |           2638.8  |    743.652     |
| 141 |  518 |      1.96324e+06 |  0.00124927  |        0.66919   |           1089    |   1801.79      |
| 142 |  150 |      1.94393e+06 |  0.00123699  |        0.670427  |          12827    |    150.55      |
| 143 |  449 |      1.94286e+06 |  0.00123631  |        0.671664  |           2400    |    808.527     |
| 144 |  343 |      1.93435e+06 |  0.00123089  |        0.672895  |           2790    |    692.314     |
| 145 |  269 |      1.92824e+06 |  0.001227    |        0.674122  |          19544.5  |     97.6585    |
| 146 |  573 |      1.91765e+06 |  0.00122026  |        0.675342  |           2400    |    798.021     |
| 147 |  128 |      1.91112e+06 |  0.00121611  |        0.676558  |          41084.2  |     45.5171    |
| 148 |   97 |      1.90899e+06 |  0.00121475  |        0.677773  |          28850.3  |     65.1689    |
| 149 |  780 |      1.90732e+06 |  0.00121369  |        0.678986  |          49279.5  |     37.7042    |
| 150 |  772 |      1.90354e+06 |  0.00121129  |        0.680198  |          10199.4  |    185.634     |
| 151 |  284 |      1.90166e+06 |  0.00121009  |        0.681408  |          54967.5  |     33.5961    |
| 152 |  686 |      1.89697e+06 |  0.0012071   |        0.682615  |           1345.5  |   1408.86      |
| 153 |  544 |      1.89459e+06 |  0.00120559  |        0.68382   |          37984.5  |     48.878     |
